etID  | Input | Late Latin | Output {GOLD}
212    | #n̪ˈawseam# | *#n̪ˈɑwsʝɑ# | *#n̪ˈɔzə# {GOLD: #n̪ˈɔzə#}
213    | #kˈawlem# | *#kˈɑwlɛ# | *#kˈɔl# {GOLD: #kˈɔl#}
214    | #ˈawrum# | *#ˈɑwro# | *#ˈɔr# {GOLD: #ˈɔr#}
215    | #ɡˈawd̪ium# | *#ɡˈɑwʝʝo# | *#ɡˈɔʒi# {GOLD: #ɡˈɔt͡ʃ#}
216    | #ˈawkam# | *#ˈɑwkɑ# | *#ˈɔɣə# {GOLD: #ˈɔkə#}
217    | #pˈawkum# | *#pˈɑwko# | *#pˈɔk# {GOLD: #pˈɔk#}
218    | #n̪ˈawkum# | *#n̪ˈɑwko# | *#n̪ˈɔk# {GOLD: #n̪ˈɔk#}
219    | #t̪ˈabulam# | *#t̪ˈɑblɑ# | *#t̪ˈawlə# {GOLD: #t̪ˈawlə#}
220    | #pˌarˈabolam# | *#pˌɑrˈɑβɔlɑ# | *#pəɾˈawlə# {GOLD: #pəɾˈawlə#}
221    | #t̪rˈabukum# | *#t̪rˈɑβoko# | *#rˈaβk# {GOLD: #t̪ɾˈaw#}
222    | #t̪rˈawkum# | *#t̪rˈɑwko# | *#rˈɔk# {GOLD: #t̪ɾˈaw#}
223    | #d̪ˈomin̪am# | *#d̪ˈɔmen̪ɑ# | *#d̪ˈɔmn̪ə# {GOLD: #d̪ˈɔn̪ə#}
224    | #kˈomit̪em# | *#kˈɔmet̪ɛ# | *#kˈomt̪# {GOLD: #kˈomt̪ə#}
225    | #bˈowem# | *#bˈɔβʷɛ# | *#bˈɔw# {GOLD: #bˈɔw#}
226    | #ˈoperit̪# | *#ˈɔpɛret̪# | *#ˈɔpr# {GOLD: #ˈɔβɾə#}
227    | #kˈopʰin̪um# | *#kˈɔpen̪o# | *#kˈɔp# {GOLD: #kˈɔβə#}
228    | #rˈot̪am# | *#rˈɔt̪ɑ# | *#rˈɔðə# {GOLD: #rˈɔðə#}
229    | #rˌepˈost̪um# | *#rˌɛpˈɔst̪o# | *#rəβˈɔst̪# {GOLD: #rəβˈɔst#}
230    | #kˈorpus# | *#kˈɔrpos# | *#kˈɔrpus# {GOLD: #kˈɔs#}
231    | #bˈon̪um# | *#bˈɔn̪o# | *#bˈɔ# {GOLD: #bˈɔ#}
232    | #fˈon̪t̪em# | *#fˈɔn̪t̪ɛ# | *#fˈon̪t̪# {GOLD: #fˈɔn#}
233    | #pˈorkum# | *#pˈɔrko# | *#pˈɔrk# {GOLD: #pˈɔrk#}
234    | #mˈollem# | *#mˈɔllɛ# | *#mˈɔʎ# {GOLD: #mˈɔʎ#}
235    | #kˈollum# | *#kˈɔllo# | *#kˈɔʎ# {GOLD: #kˈɔʎ#}
236    | #lˈokum# | *#lˈɔko# | *#ʎˈɔk# {GOLD: #ʎˈɔk#}
237    | #fˈokum# | *#fˈɔko# | *#fˈɔk# {GOLD: #fˈɔk#}
238    | #krˈokum# | *#krˈɔko# | *#ɡrˈɔk# {GOLD: #ɡɾˈɔk#}
239    | #kˈokt̪um# | *#kˈɔxt̪o# | *#kˈujt̪# {GOLD: #kˈujt#}
240    | #ˈokt̪oː# | *#ˈɔxt̪o# | *#ˈujt̪# {GOLD: #bˈujt̪#}
241    | #ˈokulum# | *#ˈɔklo# | *#ˈɔʎə# {GOLD: #ˈuʎ#}
242    | #skˈopulum# | *#ˌeskˈɔplo# | *#əskˈɔwlu# {GOLD: #əskˈuʎ#}
243    | #t̪ˈorkulum# | *#t̪ˈɔrklo# | *#t̪ˈɔrʎu# {GOLD: #t̪ɾˈuʎ#}
244    | #wˈoleoː# | *#βʷˈɔlʝo# | *#bˈɔʎ# {GOLD: #bˈuʎ#}
245    | #fˈoliam# | *#fˈɔlʝɑ# | *#fˈɔʎə# {GOLD: #fˈuʎə#}
246    | #lˈolium# | *#lˈɔlʝo# | *#ʎˈɔʎ# {GOLD: #ʒˈuʎ#}
247    | #kˈolliɡoː# | *#kˈɔllo# | *#kˈɔʎ# {GOLD: #kˈuʎ#}
248    | #kˈoksam# | *#kˈɔxsɑ# | *#kˈɔʃə# {GOLD: #kˈuʃə#}
249    | #pˈost̪ius# | *#pˈɔst͡sʲʝos# | *#pˈɔus# {GOLD: #pˈuʃ#}
250    | #ɡrˈossia# | *#ɡrˈɔssʝɑ# | *#ɡrˈɔzə# {GOLD: #ɡɾˈuʃə#}
251    | #lˈon̪ɡeː# | *#lˈɔŋɟe# | *#ʎˈɔɲ# {GOLD: #ʎˈuɲ#}
252    | #kˈorium# | *#kˈɔrʝo# | *#kˈɔɾə# {GOLD: #kˈujr#}
253    | #hˈod̪ieː# | *#hˈɔʝʝe# | *#ˈɔʒi# {GOLD: #əβˈuj#}
254    | #t̪rˌimˈod̪iam# | *#t̪rˌemˈɔʝʝɑ# | *#rimˈɔʒə# {GOLD: #t̪ɾəmˈuʒə#}
255    | #ˌin̪ˈod̪ium# | *#ˌen̪ˈɔʝʝo# | *#in̪ˈɔʒi# {GOLD: #ən̪ˈut͡ʃ#}
256    | #pˈod̪ium# | *#pˈɔʝʝo# | *#pˈɔʒi# {GOLD: #pˈut͡ʃ#}
257    | #t̪rˈoɡiam# | *#t̪rˈɔʝʝɑ# | *#rˈɔʒə# {GOLD: #t̪ɾˈuʒə#}
258    | #plˈuwiam# | *#plˈoʝɑ# | *#plˈoʒə# {GOLD: #plˈuʒə#}
259    | #ˈod̪ium# | *#ˈɔʝʝo# | *#ˈɔʒi# {GOLD: #ˈɔj#}
260    | #rˈot̪ulum# | *#rˈɔklo# | *#rˈɔʎə# {GOLD: #rˈɔʎʎə#}
261    | #sˈomn̪ium# | *#sˈɔmn̪ʝo# | *#sˈɔn̪ɲə# {GOLD: #sˈɔmn̪i#}
262    | #n̪ˈokt̪em# | *#n̪ˈɔxt̪ɛ# | *#n̪ˈujt̪# {GOLD: #n̪ˈit#}
263    | #n̪ˈoket̪# | *#n̪ˈɔcɛt̪# | *#n̪ˈɔs# {GOLD: #n̪ˈɔw#}
264    | #kˈomput̪at̪# | *#kˈɔmpot̪ɑt̪# | *#kˈompuðə# {GOLD: #kˈomt̪ə#}
265    | #mˈon̪t̪em# | *#mˈɔn̪t̪ɛ# | *#mˈon̪t̪# {GOLD: #mˈɔn̪#}
266    | #kˈomparat̪# | *#kˈɔmpɑrɑt̪# | *#kˈompəɾə# {GOLD: #kˈompɾə#}
267    | #jˈokat̪# | *#ʝˈɔkɑt̪# | *#ʒˈɔɣə# {GOLD: #ʒˈuɣə#}
268    | #lˈupum# | *#lˈopo# | *#ʎˈop# {GOLD: #ʎˈop#}
269    | #rˈoːbure# | *#rˈoβorɛ# | *#ˈowr# {GOLD: #rˈowɾə#}
270    | #iˈuwen̪em# | *#ʝˈoβʷɛn̪ɛ# | *#ʒˈow# {GOLD: #ʒˈoβə#}
271    | #pˈoːma# | *#pˈomɑ# | *#pˈomə# {GOLD: #pˈomə#}
272    | #ˈumbram# | *#ˈombrɑ# | *#ˈombrə# {GOLD: #ˈombɾə#}
273    | #plˈumbum# | *#plˈombo# | *#plˈom# {GOLD: #plˈom#}
274    | #n̪ˌepˈoːt̪em# | *#n̪ˌɛpˈot̪ɛ# | *#n̪ˈot̪# {GOLD: #n̪əβˈot#}
275    | #t̪ˈoːt̪t̪um# | *#t̪ˈot̪t̪o# | *#t̪ˈot̪u# {GOLD: #t̪ˈot̪#}
276    | #ˌarbˈut̪eum# | *#ˌɑrbˈot͡sʲʝo# | *#ərbˈos# {GOLD: #ərbˈos#}
277    | #pˈut̪eum# | *#pˈot͡sʲʝo# | *#pˈos# {GOLD: #pˈow#}
278    | #mˈuskam# | *#mˈoskɑ# | *#mˈoskə# {GOLD: #mˈoskə#}
279    | #t̪ˈussem# | *#t̪ˈossɛ# | *#t̪ˈos# {GOLD: #t̪ˈos#}
280    | #ˌan̪ɡˈust̪iam# | *#ˌɑŋɡˈost͡sʲʝɑ# | *#əŋɡˈosə# {GOLD: #əŋɡˈoʃə#}
281    | #ˈun̪d̪am# | *#ˈon̪d̪ɑ# | *#ˈon̪ə# {GOLD: #ˈon̪ə#}
282    | #mˈun̪d̪um# | *#mˈon̪d̪o# | *#mˈon̪# {GOLD: #mˈon#}
283    | #rˌot̪ˈun̪d̪um# | *#rˌɔt̪ˈon̪d̪o# | *#ruðˈon̪# {GOLD: #ruðˈo#}
284    | #lˌiɡˈoːn̪em# | *#lˌeɣˈon̪ɛ# | *#ʎəɣˈo# {GOLD: #ʎəɣˈo#}
285    | #fˌawˈoːn̪ium# | *#fˌɑˈon̪ʝo# | *#fˈun̪ə# {GOLD: #fəɣˈoɲ#}
286    | #kˌot̪ˈoːn̪eum# | *#kˌɔt̪ˈon̪ʝo# | *#kuðˈun̪ə# {GOLD: #kuðˈoɲ#}
287    | #wˌereːkˈun̪d̪iam# | *#βʷˌɛrekˈon̪ɟʝɑ# | *#bərkˈuɲə# {GOLD: #bərɡˈoɲə#}
288    | #ɡˈulam# | *#ɡˈolɑ# | *#ɡˈolə# {GOLD: #ɡˈolə#}
289    | #sˈulkum# | *#sˈoɫko# | *#sˈoɫk# {GOLD: #sˈolk#}
290    | #sˈulfure# | *#sˈoɫforɛ# | *#sˈoɫfə# {GOLD: #sˈofɾə#}
291    | #mˈult̪um# | *#mˈoɫt̪o# | *#mˈoɫt̪# {GOLD: #mˈol#}
292    | #d̪iˈurn̪um# | *#ɟʝˈorn̪o# | *#ʒˈor# {GOLD: #ʒˈorn#}
293    | #fˈurn̪um# | *#fˈorn̪o# | *#fˈor# {GOLD: #fˈorn#}
294    | #t̪ˌon̪sˈoːrias# | *#t̪ˌɔn̪sˈorʝɑs# | *#t̪uzˈojɾəs# {GOLD: #t̪izˈoɾəs#}
295    | #kˈursum# | *#kˈorso# | *#kˈos# {GOLD: #kˈos#}
296    | #sˈurd̪um# | *#sˈord̪o# | *#sˈort̪# {GOLD: #sˈort#}
297    | #bˈukkam# | *#bˈokkɑ# | *#bˈokə# {GOLD: #bˈokə#}
298    | #ɡen̪ˈukulum# | *#ɟɛn̪ˈoklo# | *#ʒin̪ˈoʎə# {GOLD: #ʒən̪ˈoʎ#}
299    | #iˈuɡum# | *#ʝˈoɣo# | *#ʒˈox# {GOLD: #ʒˈow#}
300    | #bˈuksum# | *#bˈoxso# | *#bˈoʃ# {GOLD: #bˈoʃ#}
301    | #sˈuam# | *#sˈoɑ# | *#sˈuə# {GOLD: #sˈuə#}
302    | #d̪ˈuaːs# | *#d̪ˈoɑs# | *#d̪ˈuəs# {GOLD: #d̪ˈuəs#}
303    | #iˈun̪ɡere# | *#ʝˈoŋɟɛrɛ# | *#ʒˈuɲr# {GOLD: #ʒˈuɲə#}
304    | #iˈun̪kt̪um# | *#ʝˈoŋt̪o# | *#ʒˈoŋt̪# {GOLD: #ʒˈun#}
305    | #mˈun̪ɡit̪# | *#mˈoŋɟet̪# | *#mˈuɲ# {GOLD: #mˈuɲ#}
306    | #pˈun̪kt̪am# | *#pˈoŋt̪ɑ# | *#pˈoŋt̪ə# {GOLD: #pˈun̪t̪ə#}
307    | #ˈun̪ɡulam# | *#ˈoŋɡlɑ# | *#ˈuŋʎə# {GOLD: #ˈuŋɡlə#}
308    | #pˈuɡn̪um# | *#pˈoŋn̪o# | *#pˈoɲ# {GOLD: #pˈuɲ#}
309    | #fˈuɡioː# | *#fˈoʝʝo# | *#fˈoʒi# {GOLD: #fˈut͡ʃ#}
310    | #rˌepˈud̪ium# | *#rˌɛpˈoʝʝo# | *#rˈoʒi# {GOLD: #rəβˈut͡ʃ#}
311    | #lˈukt̪am# | *#lˈoxt̪ɑ# | *#ʎˈojðə# {GOLD: #ʎˈujt̪ə#}
312    | #t̪rˈukt̪am# | *#t̪rˈoxt̪ɑ# | *#rˈojðə# {GOLD: #t̪ɾˈujt̪ə#}
313    | #kˈoːɡit̪at̪# | *#kˈoʝet̪ɑt̪# | *#kˈoʒt̪ə# {GOLD: #kˈujt̪ə#}
314    | #n̪ˈoːd̪um# | *#n̪ˈod̪o# | *#n̪ˈow# {GOLD: #n̪ˈu#}
315    | #kˈulpam# | *#kˈoɫpɑ# | *#kˈoɫpə# {GOLD: #kˈulpə#}
316    | #kˈoːd̪am# | *#kˈod̪ɑ# | *#kˈozə# {GOLD: #kˈuə#}
317    | #ˌillˈoːrum# | *#ˌellˈoro# | *#iʎˈo# {GOLD: #ʎˈur#}
318    | #ˈun̪kiam# | *#ˈoŋcʝɑ# | *#ˈuŋsə# {GOLD: #ˈun̪sə#}
319    | #t̪ˈoːt̪t̪i# | *#t̪ˈot̪t̪e# | *#t̪ˈot̪ə# {GOLD: #t̪ˈot̪#}
320    | #floːrem# | *#florɛ# | *#flur# {GOLD: #flˈɔ#}
321    | #mˌaiˈoːrem# | *#mˌɑʝˈorɛ# | *#məʒˈo# {GOLD: #məʒˈo#}
322    | #sˈoːlem# | *#sˈolɛ# | *#sˈol# {GOLD: #sˈɔl#}
323    | #rˈubeum# | *#rˈobʝo# | *#rˈoʒu# {GOLD: #rˈɔt͡ʃ#}
324    | #sˈuperat̪# | *#sˈopɛrɑt̪# | *#sˈoprə# {GOLD: #sˈɔβɾə#}
325    | #kˈuperat̪# | *#kˈopɛrɑt̪# | *#kˈoprə# {GOLD: #kˈɔβɾə#}
326    | #krˈust̪am# | *#krˈost̪ɑ# | *#ɡrˈost̪ə# {GOLD: #kɾˈɔst̪ə#}
327    | #pˌawˈoːrem# | *#pˌɑˈorɛ# | *#pˈo# {GOLD: #pˈo#}
328    | #hˈoːram# | *#hˈorɑ# | *#ˈoɾə# {GOLD: #ˈɔɾə#}
329    | #plˈoːrat̪# | *#plˈorɑt̪# | *#plˈoɾə# {GOLD: #pɫˈɔɾə#}
330    | #prˈoːd̪em# | *#prˈod̪ɛ# | *#brˈow# {GOLD: #pɾˈɔw#}
331    | #n̪ˈoːket̪# | *#n̪ˈocɛt̪# | *#n̪ˈos# {GOLD: #n̪ˈɔw#}
332    | #krˈukem# | *#krˈocɛ# | *#ɡrˈos# {GOLD: #kɾɛw#}
333    | #d̪ˈukem# | *#d̪ˈocɛ# | *#d̪ˈos# {GOLD: #d̪ˈɛw#}
334    | #wˈoːkem# | *#βʷˈocɛ# | *#bˈos# {GOLD: #bˈɛw#}
335    | #kˌon̪ˈoːskere# | *#kˌɔn̪ˈoscɛrɛ# | *#kun̪ˈosə# {GOLD: #kun̪ˈɛʃə#}
336    | #lˈuːmen̪# | *#lˈumɛ# | *#ʎˈum# {GOLD: #ʎˈum#}
337    | #n̪ˈuːbem# | *#n̪ˈuβɛ# | *#n̪ˈuw# {GOLD: #n̪ˈuw#}
338    | #fˈuːmum# | *#fˈumo# | *#fˈum# {GOLD: #fˈum#}
339    | #sˈuːberum# | *#sˈuβɛro# | *#sˈuwr# {GOLD: #sˈuɾu#}
340    | #n̪ˈuːd̪um# | *#n̪ˈud̪o# | *#n̪ˈuw# {GOLD: #n̪ˈu#}
341    | #krˈuːd̪um# | *#krˈud̪o# | *#ɡrˈuw# {GOLD: #kɾˈu#}
342    | #fˈuːsum# | *#fˈuso# | *#fˈus# {GOLD: #fˈus#}
343    | #lˈuːn̪am# | *#lˈun̪ɑ# | *#ʎˈun̪ə# {GOLD: #ʎˈun̪ə#}
344    | #mˌen̪sˈuːram# | *#mˌɛn̪sˈurɑ# | *#məzˈuɾə# {GOLD: #məzˈuɾə#}
345    | #mˌat̪ˈuːrum# | *#mˌɑt̪ˈuro# | *#məðˈu# {GOLD: #məðˈu#}
346    | #pˈuːlikem# | *#pˈulecɛ# | *#pˈus# {GOLD: #pˈusə#}
347    | #sˈuːkid̪um# | *#sˈuced̪o# | *#ˈust̪# {GOLD: #sˈud͡zew#}
348    | #ˌakˈuːkulam# | *#ˌɑkˈuklɑ# | *#əɣˈuʎə# {GOLD: #əɣˈuʎə#}
349    | #frˈuːkt̪um# | *#frˈuxt̪o# | *#frˈujt̪# {GOLD: #fɾˈujt#}
350    | #plˈuːmam# | *#plˈumɑ# | *#plˈumə# {GOLD: #plˈomə#}
351    | #brˈuːmam# | *#brˈumɑ# | *#brˈumə# {GOLD: #bɾˈomə#}
352    | #flˈuːmen̪# | *#flˈumɛ# | *#flˈum# {GOLD: #flˈum#}
353    | #t̪ˈuːferam# | *#t̪ˈufɛrɑ# | *#t̪ˈufrə# {GOLD: #t̪ˈɔfun̪ə#}
354    | #sˌiːbilˈaːre# | *#sˌiβelˈɑrɛ# | *#ʃiwlˈa# {GOLD: #ʃiwlˈa#}
355    | #hˌiːwˈern̪um# | *#hˌiβʷˈɛrn̪o# | *#iβˈɛ# {GOLD: #iβˈɛrn#}
356    | #lˌiːmit̪ˈaːre# | *#lˌimet̪ˈɑrɛ# | *#ʎimt̪ˈa# {GOLD: #ʎin̪d̪ˈa#}
357    | #kˌiːvit̪ˈaːt̪em# | *#cˌivet̪ˈɑt̪ɛ# | *#ʃiwt̪ˈat̪# {GOLD: #siwt̪ˈat#}
358    | #mˌiːrˈaːre# | *#mˌirˈɑrɛ# | *#milˈa# {GOLD: #miɾˈa#}
359    | #wˌiːkˈiːn̪um# | *#βʷˌicˈin̪o# | *#bizˈi# {GOLD: #bəˈi#}
360    | #ˌin̪d̪ˌiːwˈiːn̪at̪# | *#ˌen̪d̪ˌiβʷˈin̪ɑt̪# | *#in̪iβˈin̪ə# {GOLD: #ən̪d̪əβˈin̪ə#}
361    | #d̪ˌiːwˈiːn̪um# | *#d̪ˌiβʷˈin̪o# | *#d̪iβˈi# {GOLD: #d̪iβˈi#}
362    | #ˌaprˈiːkum# | *#ˌɑprˈiko# | *#əwrˈik# {GOLD: #əβɾˈik#}
363    | #wˌest̪ˈiːre# | *#βʷˌɛst̪ˈirɛ# | *#bəst̪ˈi# {GOLD: #bəst̪ˈi#}
364    | #plˌikˈaːre# | *#plˌekˈɑrɛ# | *#pləɣˈa# {GOLD: #pləɣˈa#}
365    | #mˌerkˈeːd̪em# | *#mˌɛrcˈed̪ɛ# | *#misˈew# {GOLD: #mərsˈɛ#}
366    | #sˌin̪kˈeːrum# | *#sˌeŋcˈero# | *#iŋsˈe# {GOLD: #sən̪sˈɛ#}
367    | #ˌae̯rˈaːmen̪# | *#ˌɛrˈɑmɛ# | *#əɾˈam# {GOLD: #əɾˈam#}
368    | #bˌilˈan̪keam# | *#bˌelˈɑŋcʝɑ# | *#bəlˈaŋsə# {GOLD: #bəlˈan̪sə#}
369    | #sˌalwˈat̪ikum# | *#sˌɑɫβʷˈɑt̪eko# | *#səɫbˈat̪k# {GOLD: #səlβˈad͡ʒə#}
370    | #ˌilikˈiːn̪am# | *#ˌelecˈin̪ɑ# | *#əʃˈin̪ə# {GOLD: #əlzˈin̪ə#}
371    | #fˌilikˈaːria# | *#fˌelekˈɑrʝɑ# | *#fikˈeɾə# {GOLD: #fəlɣˈeɾə#}
372    | #bˌasiˈaːre# | *#bˌɑsʝˈɑrɛ# | *#bəzˈa# {GOLD: #bəzˈa#}
373    | #lˌakt̪ˈuːkam# | *#lˌɑxt̪ˈukɑ# | *#ʎəðˈuɣə# {GOLD: #ʎət̪ˈuɣə#}
374    | #t̪ˌaksˈoːn̪em# | *#t̪ˌɑxsˈon̪ɛ# | *#t̪əʃˈo# {GOLD: #t̪əʃˈo#}
375    | #wˌariˈolam# | *#βʷˌɑrʝˈɔlɑ# | *#bəɾˈɔlə# {GOLD: #bəɾˈɔlə#}
376    | #ɡˌiːrˈaːre# | *#ɟˌirˈɑrɛ# | *#ʒilˈa# {GOLD: #ʒiɾˈa#}
377    | #iˌekt̪ˈaːre# | *#ʝˌɛxt̪ˈɑrɛ# | *#ʒəðˈa# {GOLD: #ʒit̪ˈa#}
378    | #lˌeːkt̪iˈoːn̪em# | *#lˌext͡sʲʝˈon̪ɛ# | *#ʎəʃˈo# {GOLD: #ʎisˈo#}
379    | #mˌeliˈoːrem# | *#mˌɛlʝˈorɛ# | *#miʎˈo# {GOLD: #miʎˈo#}
380    | #pˌeːd̪iːkˈaːre# | *#pˌed̪ikˈɑrɛ# | *#pəðkˈa# {GOLD: #pid͡ʒˈa#}
381    | #ˌin̪d̪ˌiːreːkt̪um# | *#ˌen̪d̪ˌirext̪o# | *#in̪irt̪# {GOLD: #in̪d̪ɾˈɛt̪#}
382    | #krˌeˈaːre# | *#krˌɛˈɑrɛ# | *#ɡrˈa# {GOLD: #kɾiˈa#}
383    | #kist̪ˈellam# | *#cest̪ˈɛllɑ# | *#ist̪ˈɛʎə# {GOLD: #sist̪ˈeʎə#}
384    | #fˌen̪ˈest̪ram# | *#fˌɛn̪ˈɛst̪rɑ# | *#fin̪ˈesrə# {GOLD: #fin̪ˈest̪ɾə#}
385    | #iˌuːn̪ˈiperum# | *#ʝˌun̪ˈepɛro# | *#ʒun̪ˈepr# {GOLD: #ʒin̪ˈeβɾə#}
386    | #ɡˌen̪ˈist̪am# | *#ɟˌɛn̪ˈest̪ɑ# | *#ʒin̪ˈest̪ə# {GOLD: #ʒin̪ˈest̪ə#}
387    | #d̪ˌaːmˈaskum# | *#d̪ˌɑmˈɑsko# | *#d̪əmˈask# {GOLD: #d̪umˈas#}
388    | #ˌimplˈeːre# | *#ˌemplˈerɛ# | *#imblˈe# {GOLD: #umplˈi#}
389    | #ˌiːn̪flˈaːre# | *#ˌin̪flˈɑrɛ# | *#in̪flˈa# {GOLD: #uɱflˈa#}
390    | #rˌemˌan̪ˈeːre# | *#rˌɛmˌɑn̪ˈerɛ# | *#rimən̪ˈe# {GOLD: #rumˈan̪d̪ɾə#}
391    | #fˌoe̯n̪ˈukulum# | *#fˌen̪ˈoklo# | *#fin̪ˈoʎə# {GOLD: #fun̪ˈoʎ#}
392    | #ɡˌen̪ˈukulum# | *#ɟˌɛn̪ˈoklo# | *#ʒin̪ˈoʎə# {GOLD: #ʒun̪ˈoʎ#}
393    | #rˌest̪ˈuplum# | *#rˌɛst̪ˈoplo# | *#rəst̪ˈowlu# {GOLD: #rust̪ˈoʎ#}
394    | #t̪ˈakson̪em# | *#t̪ˈɑxsɔn̪ɛ# | *#t̪ˈaʃu# {GOLD: #t̪uʃˈo#}
395    | #ˌawikˈellum# | *#ˌɑwcˈɛllo# | *#uzˈɛʎ# {GOLD: #usˈeʎ#}
396    | #ˌawd̪ˈiːre# | *#ˌɑwd̪ˈirɛ# | *#uzˈi# {GOLD: #uˈi#}
397    | #ˌawrˈikulam# | *#ˌɑwrˈeklɑ# | *#uɾˈeʎə# {GOLD: #uɾˈɛʎə#}
398    | #lˌawrˈen̪t̪ium# | *#lˌɑwrˈɛn̪t͡sʲʝo# | *#ʎuɾˈɛn̪s# {GOLD: #ʎuɾˈɛn̪s#}
399    | #ˌaɡˈust̪um# | *#ˌɑɣˈost̪o# | *#əɣˈost̪# {GOLD: #əɣˈost#}
400    | #ˌoffˌerˈiːre# | *#ˌɔffˌɛrˈirɛ# | *#ufəlˈi# {GOLD: #ufəɾˈi#}
401    | #ˌoːllˈaːrium# | *#ˌollˈɑrʝo# | *#uʎˈaɾə# {GOLD: #uʎˈe#}
402    | #ˌopˈaːkam# | *#ˌɔpˈɑkɑ# | *#uβˈaɣə# {GOLD: #uβˈaɣə#}
403    | #ˌopˈaːkum# | *#ˌɔpˈɑko# | *#uβˈak# {GOLD: #uβˈak#}
404    | #ˌorˈiːɡan̪um# | *#ˌɔrˈiɣɑn̪o# | *#uɾˈix# {GOLD: #uɾˈɛŋɡə#}
405    | #ˌurt̪ˈiːkam# | *#ˌort̪ˈikɑ# | *#urt̪ˈiɣə# {GOLD: #urt̪ˈiɣə#}
406    | #hˌospit̪ˈaːlem# | *#hˌɔspet̪ˈɑlɛ# | *#uspəðˈal# {GOLD: #ust̪ˈal#}
407    | #kˌun̪ˈiːkulum# | *#kˌon̪ˈiklo# | *#kun̪ˈilə# {GOLD: #kun̪ˈiʎ#}
408    | #d̪ˌormˈiːre# | *#d̪ˌɔrmˈirɛ# | *#d̪urmˈi# {GOLD: #d̪urmˈi#}
409    | #lˌupˈiːn̪um# | *#lˌopˈin̪o# | *#ʎuβˈi# {GOLD: #ʎuβˈi#}
410    | #mˌorsikˈaːre# | *#mˌɔrsekˈɑrɛ# | *#musəɣˈa# {GOLD: #musəɣˈa#}
411    | #n̪ˌukˈaːrium# | *#n̪ˌokˈɑrʝo# | *#n̪uɣˈaɾə# {GOLD: #n̪uɣˈe#}
412    | #n̪ˌuːt̪rˈiːre# | *#n̪ˌut̪rˈirɛ# | *#n̪ulˈi# {GOLD: #n̪uðɾˈi#}
413    | #pˌot̪ˈeːre# | *#pˌɔt̪ˈerɛ# | *#puðˈe# {GOLD: #puðˈe#}
414    | #prˌobˈaːre# | *#prˌɔβˈɑrɛ# | *#bruβˈa# {GOLD: #pɾuβˈa#}
415    | #sˌuperˈaːre# | *#sˌopɛrˈɑrɛ# | *#suʎˈa# {GOLD: #suβɾˈa#}
416    | #wˌult̪ˈoːrem# | *#βʷˌoɫt̪ˈorɛ# | *#buɫt̪ˈo# {GOLD: #bult̪ˈo#}
417    | #mˌuliˈerem# | *#mˌolʝˈɛrɛ# | *#muʎˈɛ# {GOLD: #muʎˈe#}
418    | #mˌoːd̪iˈolum# | *#mˌoʝʝˈɔlo# | *#muʒˈɔl# {GOLD: #muʒˈɔl#}
419    | #mˌoːlliˈaːre# | *#mˌollʝˈɑrɛ# | *#muʎˈa# {GOLD: #muʎˈa#}
420    | #ˌoleˈast̪rum# | *#ˌɔlʝˈɑst̪ro# | *#uʎˈasr# {GOLD: #uʎˈast̪ɾə#}
421    | #pˌun̪ɡˈeːre# | *#pˌoŋɟˈerɛ# | *#puɲˈe# {GOLD: #puɲˈi#}
